code,name,date,type,entry_price,exit_price,pnl,pnl_pct
6693,廣閎科,2026-01-13,locked,91.4,93.9,2.5,0.02735229759299781
6725,矽科宏晟,2026-01-13,locked,280.5,296.0,15.5,0.05525846702317291
6792,詠業,2026-01-13,locked,56.4,58.3,1.8999999999999986,0.03368794326241132
6903,巨漢,2026-01-13,locked,276.5,285.0,8.5,0.03074141048824593
7715,裕山,2026-01-13,locked,36.4,40.0,3.6000000000000014,0.09890109890109894
7751,竑騰,2026-01-13,locked,874.0,879.0,5.0,0.005720823798627002
7768,頌勝科技,2026-01-13,not_locked,228.5,211.0,-17.5,-0.07658643326039387
7820,立盈,2026-01-13,locked,161.0,161.0,0.0,0.0
8088,品安,2026-01-13,not_locked,58.3,54.8,-3.5,-0.06003430531732419
8110,華東,2026-01-13,not_locked,82.2,78.0,-4.200000000000003,-0.05109489051094894
8289,泰藝,2026-01-13,locked,22.75,24.15,1.3999999999999986,0.06153846153846148
8422,可寧衛*,2026-01-13,locked,47.2,51.9,4.699999999999996,0.09957627118644058
8440,綠電,2026-01-13,locked,27.0,29.7,2.6999999999999993,0.09999999999999998
9955,佳龍,2026-01-13,locked,36.9,38.5,1.6000000000000014,0.043360433604336085
1503,士電,2026-01-14,locked,198.0,205.5,7.5,0.03787878787878788
1504,東元,2026-01-14,locked,90.5,92.0,1.5,0.016574585635359115
1519,華城,2026-01-14,locked,893.0,935.0,42.0,0.04703247480403135
1540,喬福,2026-01-14,locked,25.4,25.65,0.25,0.00984251968503937
1711,永光,2026-01-14,locked,24.3,25.0,0.6999999999999993,0.028806584362139887
1721,三晃,2026-01-14,locked,17.05,18.3,1.25,0.07331378299120234
1725,元禎,2026-01-14,locked,30.45,30.5,0.05000000000000071,0.0016420361247947688
1735,日勝化,2026-01-14,locked,18.75,19.15,0.3999999999999986,0.021333333333333256
2028,威致,2026-01-14,locked,19.9,20.9,1.0,0.05025125628140704
2062,橋椿,2026-01-14,locked,22.65,23.35,0.7000000000000028,0.030905077262693283
2305,全友,2026-01-14,locked,14.95,15.3,0.3500000000000014,0.02341137123745829
2312,金寶,2026-01-14,locked,30.3,31.95,1.6499999999999986,0.05445544554455441
2331,精英,2026-01-14,locked,28.8,29.8,1.0,0.034722222222222224
2332,友訊,2026-01-14,locked,17.05,17.45,0.3999999999999986,0.023460410557184667
2419,仲琦,2026-01-14,locked,32.75,32.75,0.0,0.0
2424,隴華,2026-01-14,locked,35.3,38.2,2.9000000000000057,0.08215297450424947
2484,希華,2026-01-14,locked,25.3,27.8,2.5,0.09881422924901186
2485,兆赫,2026-01-14,locked,33.25,35.9,2.6499999999999986,0.07969924812030071
3152,璟德,2026-01-14,locked,183.0,181.5,-1.5,-0.00819672131147541
3221,台嘉碩,2026-01-14,locked,26.1,28.2,2.099999999999998,0.08045977011494244
3236,千如,2026-01-14,locked,35.9,36.7,0.8000000000000043,0.022284122562674213
3532,台勝科,2026-01-14,not_locked,138.0,136.0,-2.0,-0.014492753623188406
3576,聯合再生,2026-01-14,locked,10.75,11.5,0.75,0.06976744186046512
3691,碩禾,2026-01-14,locked,95.0,99.8,4.799999999999997,0.050526315789473655
4510,高鋒,2026-01-14,locked,44.65,45.0,0.3500000000000014,0.007838745800671924
4543,萬在,2026-01-14,locked,30.4,31.9,1.5,0.049342105263157895
4561,健椿,2026-01-14,locked,33.2,33.2,0.0,0.0
4562,穎漢,2026-01-14,locked,39.7,40.65,0.9499999999999957,0.023929471032745484
4903,聯光通,2026-01-14,locked,40.25,42.05,1.7999999999999972,0.044720496894409864
4989,榮科,2026-01-14,locked,60.5,61.5,1.0,0.01652892561983471
5228,鈺鎧,2026-01-14,locked,28.05,30.8,2.75,0.09803921568627451
5272,笙科,2026-01-14,locked,21.5,21.7,0.1999999999999993,0.009302325581395316
5364,力麗店,2026-01-14,locked,14.85,15.2,0.34999999999999964,0.023569023569023545
5498,凱崴,2026-01-14,locked,60.5,60.7,0.20000000000000284,0.0033057851239669893
6127,九豪,2026-01-14,not_locked,42.55,42.0,-0.5499999999999972,-0.012925969447708512
6155,鈞寶,2026-01-14,locked,55.2,59.0,3.799999999999997,0.06884057971014487
6163,華電網,2026-01-14,not_locked,73.9,72.7,-1.2000000000000028,-0.016238159675236844
6173,信昌電,2026-01-14,locked,76.6,77.1,0.5,0.006527415143603134
6182,合晶,2026-01-14,locked,39.6,40.0,0.3999999999999986,0.010101010101010065
6216,居易,2026-01-14,locked,29.15,28.5,-0.6499999999999986,-0.022298456260720363
6284,佳邦,2026-01-14,locked,93.2,97.4,4.200000000000003,0.04506437768240346
6485,點序,2026-01-14,locked,116.0,119.0,3.0,0.02586206896551724
6612,奈米醫材,2026-01-14,locked,80.3,83.5,3.200000000000003,0.03985056039850564
6674,鋐寶科技,2026-01-14,locked,22.15,21.6,-0.5499999999999972,-0.02483069977426624
6934,心誠鎂,2026-01-14,not_locked,121.5,117.0,-4.5,-0.037037037037037035
7715,裕山,2026-01-14,locked,40.0,44.0,4.0,0.1
